language,bpe vocab limit,num tokens,num words,tokens : word,word lengths,word tokens,mean word len,mean tokens per word
english,200,5010,1000,5.01,"[ 7  8  2  3  9  4  3  7  3  7  3  3  5  3  5  3  5  8  3  7  4  8  2  3
  7  2  3  5  3  3  6  2  3  8  4  3  6  3  4  4  5  2  5  1  3  5  3  5
  3  3  4  3  5  3  4  2  9  3  5  4  3  8  7  3  5  5  3  3  8  7  5  3
  2  7  3  1  7  6  3  5  3  4  3  4  4  5  2  1  4  7  3  6  3  3  2  8
  3  6  4  3  6  1  2  3  4  3  4  2  8  3  6  5  4  3  6  5  4  5  2  2
  3  2  3  6  3  4  3  5  5  3  2  7  3  1  7  6  3  6  3  4  3  4  4  3
  6  5  3  3  2  8  8  3  3  3  3  6  6  1  2  3  2  3  6  3  3  6  6  3
  2  6  3  8  6  6  3  3  4  2  3  4  3  4  4  3  5  3  5 10  6  2  3  5
  5  5  5  3  4  2  4  3  5  4  4  6  2  5  3  5  3  4  1  2  3  2  3  5
  8 10  4  7  6  3  5  4  4  7  5  3  3  4  2  3  4  5  3  2  7  3  1  7
  6  3  5  3  4  3  4  4  5  2  6  2  3  4  2  3  3  2  8  3  5  4  3  3
  3  4  2  5  2  4  3  7  3  4  3  3  5  3  4  2  6  2  3  4  2  3  3  2
  5  3  5  1  2  3  2  2  3  4  3  3  5  6  3  7  2  4  3  3  3  3  6  2
  4  3  5  3  4  3  5  4  2  6  3  5  6  2  3  4  2  3  3  2  4  5  4  3
  5  2  4  4  3  3  3  4  3  5  3  2  8  5  4  8  3  3  4  2  3  4  5  3
  2  7  3  1  7  6  3  6  3  4  3  4  4  3  6  4  4  6  9  3  3  5  3  4
  3  5  2  3  4  4  2  3  3  1  3  7  3  5  3  8  3  5  2  6  6  9  4  5
  3  6  4  3  3  5  2  6  5  3  3  4  2  3  4  2  7  4  6  3  8  8  4  3
  6  3  3  3  5  8  2  3  4  1  5  3  2  7  3  1  7  6  3  5  3  4  3  4
  4  3  5  7  3  5  2  6  9  6  3  8  3  4  6  1  2  3  2  2  3  4  3  3
  9  5  2  4  6  3  3  6  3 10  4  6  4  3  6  3  3  4  2  3  4  4  3  4
  4  2  4  6  3  3  6  2  2  3  3  4  2  3  4  4  4  3  4  2  3  3  3  5
  2  3  3  3  6  3  5  5  3  3  3  8  4  5  4  3  6  1  2  3  7  6  2  3
  5  2  7  4  2  3  5  2  3  2  7  4  4  3  6  4  3  7  4  3  4  2  4  3
  8  4  2  6  4  3  5  3  6  2  4  4  3  4  2  3  3  3  5  2  3  3  3  4
  5  6  5  4  6  2  3  6  1  3  4  2  4  3  5  4  7  5 10  3  3  5  3  5
  4  4  3  4  7  5  4  4  2  4  3  3  3  2  5  4  5  3  2  5  4  2  3  3
  3  2 10  4  6  2  3  5  1 10  4  3  6  2  4  2  2  1  4  5  5  5  3  4
  1  2  3  2  4  3  3  3  4  2  3  4  2  9  4  2  3  4  4  5  3  2  7  3
  1  7  6  3  5  3  2  3  7  3  3  5  4  8  3 10  2  4  4  2  3  7  3  3
  8  3  4  5  2  3  4  2  6  4  3  4  3  3  4  3  7  3  7  3  3  3  2  5
  3  2  2  2  6  4  3  3  8  4  5  2  3  4  3  6  4  2  3  5  2  3  7  3
  5  4  4  4  7  2  3  4  4  3  4  3  4  5  3  6  5  4  3  3  3  6  2  3
  5  3  2 10  3  6  2  3  3  4  3  3  3  4  4  4  3  5  3  5  3  2  3  2
  4  3  4  1  4  4  2  4  4  3  5  3  5  3  3  7  2  3  6  4  3  4  3  6
  1  5  5  3  2  4  5  4  3  6  3  8  4  3  8  3  6  2  4  3  2  6  1  6
  5  3  4  3  7  1  6  2  4  3  2  3  4  3  6  3  5  2  3  6  5  4  3  4
  3  4  3  4  4  3  5  2  5  4  3  8  2  4  2  3  4  3  4  4  3  4  2  4
  4  2  3  6  2  3  6  3  3  4  4  5  3  9  2  4  3  4  1  5  6  3  2  4
  3  7  3  6  3  4  5  8  4  4  3  4  2  3  5  2  6  5  5  5  3  5  4  2
  7  5  5  2  4  3  4  2  4  4  2  4  3  8  6  3  4  5  3  5  5  3  4  2
  3  6  5  2  5  5  5  6  3  5  4  2  4  3  3  4]","[ 7  8  2  3  9  4  3  7  3  7  3  3  5  3  5  3  5  8  3  7  4  8  2  3
  7  2  3  5  3  3  6  2  3  8  4  3  6  3  4  6  5  2  5  3  3  5  3  5
  3  3  4  3  5  3  4  2  9  3  5  4  3  8  7  3  5  9  3  3  8 11  5  3
  2  7  3  1  7  6  3  5  3  4  3  4  6  5  2  1  4  7  3  6  3  3  2  8
  3  6  4  3  6  3  2  3  4  3  4  2  8  3  6  5  4  3  6  5  4  5  2  2
  3  2  3  6  3  4  3  9  5  3  2  7  3  1  7  6  3  6  3  4  3  4  6  3
  6  5  3  3  2  8  8  3  3  3  3  6  6  3  2  3  2  3  6  3  3  6 10  3
  2  6  3  8  6 10  3  3  4  2  3  4  3  4  6  3  5  3  5 10  6  2  3  5
  5  5  5  3  4  2  4  3  5  4  4  6  2  5  3  5  3  4  3  2  3  2  3  5
  8 10  4  7  6  3  5  4  4  7  5  3  3  4  2  3  4  5  3  2  7  3  1  7
  6  3  5  3  4  3  4  6  5  2  6  2  3  4  2  3  3  2  8  3  5  4  3  3
  3  4  2  5  2  4  3  7  3  4  3  3  5  3  4  2  6  2  3  4  2  3  3  2
  5  3  5  3  2  3  2  2  3  4  3  3  5  6  3  7  2  4  3  3  3  3  6  2
  4  3  5  3  4  3  5  4  2  6  3  5  6  2  3  4  2  3  3  2  4  5  4  3
  5  2  4  4  3  3  3  4  3  5  3  2  8  5  4  8  3  3  4  2  3  4  5  3
  2  7  3  1  7  6  3  6  3  4  3  4  6  3  6  4  4  6  9  3  3  5  3  4
  3  5  2  3  4  4  2  3  3  3  3  7  3  5  3  8  3  5  2  6  6  9  4  5
  3  6  4  3  3  5  2  6  5  3  3  4  2  3  4  2  7  4  6  5  8  8  4  3
  6  3  3  3  5  8  2  3  4  3  5  3  2  7  3  1  7  6  3  5  3  4  3  4
  6  3  5  7  3  5  2  6  9  6  3  8  3  4  6  3  2  3  2  2  3  4  3  3
  9  5  2  4  6  3  3  6  3 10  4  6  4  3  6  3  3  4  2  3  4  4  3  4
  6  2  4  6  3  3  6  2  2  3  3  4  2  3  4  4  4  3  4  2  3  3  3  5
  2  3  3  3  6  3  5  5  3  3  3  8  4  5  4  3  6  3  2  3  7  6  2  3
  5  2  7  4  2  3  5  2  3  2  7  4  4  3  6  4  3  7  4  3  4  2  4  5
  8  4  2  6  4  3  5  3  6  2  4  4  3  4  2  3  3  3  5  2  3  3  3  4
  5  6  5  4  6  2  3  6  3  3  4  4  4  3  5  4  7  5 10  3  3  5  3  5
  4  4  3  4  7  5  4  4  2  4  3  3  3  2  5  4  5  3  2  5  4  2  3  3
  3  2 10  4  6  2  3  5  3 10  4  3  6  2  4  2  2  1  4  5  5  5  3  4
  3  2  3  2  4  3  3  3  4  2  3  4  2  9  4  2  3  4  4  5  3  2  7  3
  1  7  6  3  5  3  2  3  7  3  3  5  4  8  3 10  2  4  4  2  3  7  3  3
  8  3  4  5  2  3  4  2  6  4  3  4  3  3  4  3  7  3  7  3  3  3  2  5
  3  2  2  2  6  4  3  3  8  4  5  2  3  4  3  6  4  2  3  5  2  3  7  3
  5  4  4  4  7  2  3  4  4  3  4  3  4  5  3  6  5  4  3  3  3  6  2  3
  5  3  2 10  3  6  2  3  3  4  3  3  3  4  4  4  3  5  3  5  3  2  3  2
  4  3  4  1  4  4  2  4  4  3  5  3  5  3  3  7  2  3  6  4  3  4  3  6
  1  5  5  3  2  4  5  4  3  6  3  8  4  3  8  3  6  2  4  3  2  6  1  6
  5  3  4  3  7  1  6  2  4  3  2  3  4  3  6  3  5  2  3  6  5  4  3  4
  3  4  3  4  4  3  5  2  5  4  3  8  2  4  2  3  4  3  4  4  3  4  2  4
  4  2  3  6  2  3  6  3  3  4  4  5  3  9  2  4  3  4  1  5  6  3  2  4
  3  7  3  6  3  4  5  8  4  4  3  4  2  3  5  2  6  5  5  5  3  5  4  2
  7  5  5  2  4  3  4  2  4  4  2  4  3  8  6  3  4  5  3  5  5  3  4  2
  3  6  5  2  5  5  5  6  3  5  4  2  4  3  3  4]",3.945,4.011
english,200,10070,2000,5.035,[3 5 5 ... 5 5 2],[3 5 5 ... 5 5 2],3.9655,4.0355
english,200,20604,4000,5.151,[4 3 3 ... 1 3 4],[4 3 3 ... 1 3 4],4.11225,4.15125
english,200,40227,8000,5.028375,[8 4 2 ... 3 4 5],[8 4 2 ... 3 4 5],3.9405,4.0285
english,200,80985,16000,5.0615625,[7 2 3 ... 2 3 7],[7 2 3 ... 2 3 7],3.975,4.061625
english,200,166073,32000,5.18978125,[3 9 5 ... 3 4 2],[3 9 7 ... 3 4 2],4.138875,4.1898125
english,200,324530,64000,5.07078125,[4 8 3 ... 2 3 7],[4 8 3 ... 2 3 7],4.037296875,4.070796875
english,500,3257,1000,3.257,"[ 7  8  2  3  9  4  3  7  3  7  3  3  5  3  5  3  5  8  3  7  4  8  2  3
  7  2  3  5  3  3  6  2  3  8  4  3  6  3  4  4  5  2  5  1  3  5  3  5
  3  3  4  3  5  3  4  2  9  3  5  4  3  8  7  3  5  5  3  3  8  7  5  3
  2  7  3  1  7  6  3  5  3  4  3  4  4  5  2  1  4  7  3  6  3  3  2  8
  3  6  4  3  6  1  2  3  4  3  4  2  8  3  6  5  4  3  6  5  4  5  2  2
  3  2  3  6  3  4  3  5  5  3  2  7  3  1  7  6  3  6  3  4  3  4  4  3
  6  5  3  3  2  8  8  3  3  3  3  6  6  1  2  3  2  3  6  3  3  6  6  3
  2  6  3  8  6  6  3  3  4  2  3  4  3  4  4  3  5  3  5 10  6  2  3  5
  5  5  5  3  4  2  4  3  5  4  4  6  2  5  3  5  3  4  1  2  3  2  3  5
  8 10  4  7  6  3  5  4  4  7  5  3  3  4  2  3  4  5  3  2  7  3  1  7
  6  3  5  3  4  3  4  4  5  2  6  2  3  4  2  3  3  2  8  3  5  4  3  3
  3  4  2  5  2  4  3  7  3  4  3  3  5  3  4  2  6  2  3  4  2  3  3  2
  5  3  5  1  2  3  2  2  3  4  3  3  5  6  3  7  2  4  3  3  3  3  6  2
  4  3  5  3  4  3  5  4  2  6  3  5  6  2  3  4  2  3  3  2  4  5  4  3
  5  2  4  4  3  3  3  4  3  5  3  2  8  5  4  8  3  3  4  2  3  4  5  3
  2  7  3  1  7  6  3  6  3  4  3  4  4  3  6  4  4  6  9  3  3  5  3  4
  3  5  2  3  4  4  2  3  3  1  3  7  3  5  3  8  3  5  2  6  6  9  4  5
  3  6  4  3  3  5  2  6  5  3  3  4  2  3  4  2  7  4  6  3  8  8  4  3
  6  3  3  3  5  8  2  3  4  1  5  3  2  7  3  1  7  6  3  5  3  4  3  4
  4  3  5  7  3  5  2  6  9  6  3  8  3  4  6  1  2  3  2  2  3  4  3  3
  9  5  2  4  6  3  3  6  3 10  4  6  4  3  6  3  3  4  2  3  4  4  3  4
  4  2  4  6  3  3  6  2  2  3  3  4  2  3  4  4  4  3  4  2  3  3  3  5
  2  3  3  3  6  3  5  5  3  3  3  8  4  5  4  3  6  1  2  3  7  6  2  3
  5  2  7  4  2  3  5  2  3  2  7  4  4  3  6  4  3  7  4  3  4  2  4  3
  8  4  2  6  4  3  5  3  6  2  4  4  3  4  2  3  3  3  5  2  3  3  3  4
  5  6  5  4  6  2  3  6  1  3  4  2  4  3  5  4  7  5 10  3  3  5  3  5
  4  4  3  4  7  5  4  4  2  4  3  3  3  2  5  4  5  3  2  5  4  2  3  3
  3  2 10  4  6  2  3  5  1 10  4  3  6  2  4  2  2  1  4  5  5  5  3  4
  1  2  3  2  4  3  3  3  4  2  3  4  2  9  4  2  3  4  4  5  3  2  7  3
  1  7  6  3  5  3  2  3  7  3  3  5  4  8  3 10  2  4  4  2  3  7  3  3
  8  3  4  5  2  3  4  2  6  4  3  4  3  3  4  3  7  3  7  3  3  3  2  5
  3  2  2  2  6  4  3  3  8  4  5  2  3  4  3  6  4  2  3  5  2  3  7  3
  5  4  4  4  7  2  3  4  4  3  4  3  4  5  3  6  5  4  3  3  3  6  2  3
  5  3  2 10  3  6  2  3  3  4  3  3  3  4  4  4  3  5  3  5  3  2  3  2
  4  3  4  1  4  4  2  4  4  3  5  3  5  3  3  7  2  3  6  4  3  4  3  6
  1  5  5  3  2  4  5  4  3  6  3  8  4  3  8  3  6  2  4  3  2  6  1  6
  5  3  4  3  7  1  6  2  4  3  2  3  4  3  6  3  5  2  3  6  5  4  3  4
  3  4  3  4  4  3  5  2  5  4  3  8  2  4  2  3  4  3  4  4  3  4  2  4
  4  2  3  6  2  3  6  3  3  4  4  5  3  9  2  4  3  4  1  5  6  3  2  4
  3  7  3  6  3  4  5  8  4  4  3  4  2  3  5  2  6  5  5  5  3  5  4  2
  7  5  5  2  4  3  4  2  4  4  2  4  3  8  6  3  4  5  3  5  5  3  4  2
  3  6  5  2  5  5  5  6  3  5  4  2  4  3  3  4]","[4 4 1 2 6 2 2 4 2 3 2 2 2 2 2 1 2 4 2 5 2 5 1 2 4 1 2 4 2 2 3 1 2 4 1 2 4
 2 2 5 3 1 3 3 2 3 1 3 2 2 2 2 3 1 2 1 4 2 3 2 2 5 3 2 3 7 2 2 5 9 3 1 1 3
 2 1 4 3 2 3 1 2 2 2 5 3 1 1 2 4 2 4 2 2 1 4 2 4 2 2 4 3 1 2 2 2 2 1 4 2 4
 3 2 2 4 2 2 3 1 1 1 1 2 2 2 2 2 9 3 1 1 3 2 1 4 3 2 3 1 2 2 2 5 2 4 2 2 3
 1 4 4 2 2 2 2 3 4 3 1 1 1 2 2 2 2 3 8 2 1 2 2 4 4 8 2 2 2 1 1 2 2 2 5 2 2
 1 2 5 3 1 2 2 2 4 2 2 2 1 2 2 3 2 2 4 1 2 2 2 2 2 3 1 1 1 2 2 3 5 2 4 3 2
 3 2 2 4 3 2 2 2 1 1 2 3 1 1 3 2 1 4 3 2 3 1 2 2 2 5 3 1 3 1 2 2 1 2 3 1 4
 2 3 2 2 1 2 2 1 4 1 3 2 4 2 2 2 2 3 2 2 1 3 1 2 2 1 2 3 1 3 2 2 3 1 1 1 1
 2 2 2 2 2 3 2 3 1 2 2 1 2 2 2 1 2 2 3 2 2 2 3 2 1 3 1 3 3 1 2 2 1 2 3 1 2
 3 2 2 2 1 2 1 2 1 2 1 2 3 2 1 4 3 2 5 2 2 2 1 1 2 3 1 1 3 2 1 4 3 2 3 1 2
 2 2 5 2 4 2 2 3 5 2 2 3 2 1 2 2 1 2 3 2 1 2 3 3 2 4 2 2 2 5 1 2 1 3 3 5 2
 2 2 4 2 2 1 2 1 4 3 2 2 2 1 1 2 1 2 2 4 4 5 5 2 2 4 2 2 2 3 5 1 2 2 3 3 1
 1 3 2 1 4 3 2 3 1 2 2 2 5 2 2 4 1 2 1 3 5 4 2 4 2 2 3 3 1 1 1 1 2 2 1 2 6
 2 1 2 3 2 2 4 2 5 2 5 2 2 3 2 2 2 1 1 2 2 2 2 5 1 2 4 2 2 4 1 1 2 2 2 1 2
 2 2 1 2 3 1 2 2 2 3 1 2 3 2 4 2 3 2 2 1 2 4 2 4 2 2 3 3 1 2 4 4 1 1 3 1 4
 2 1 2 3 1 2 1 4 2 2 2 4 2 2 2 2 2 2 1 2 4 5 3 1 4 2 2 2 2 3 1 2 1 2 3 1 2
 2 2 3 1 2 3 2 1 2 3 3 2 5 1 2 3 3 2 2 4 2 1 2 2 4 3 5 1 2 2 2 2 3 2 1 2 4
 3 2 2 1 2 1 1 2 1 2 2 3 2 1 2 3 1 2 3 2 1 5 2 5 1 2 2 3 5 2 2 3 1 2 1 1 1
 2 2 2 3 1 2 3 1 1 1 2 2 2 1 2 1 2 2 1 4 2 1 1 2 2 3 1 1 3 2 1 4 3 2 3 1 1
 2 3 2 2 2 2 5 2 5 1 2 2 1 2 3 1 2 5 2 2 2 1 2 2 1 2 2 1 2 1 1 2 2 2 2 3 1
 2 2 1 3 1 1 1 1 2 2 1 2 5 2 2 1 2 2 2 4 2 1 2 2 1 2 3 2 2 2 2 2 4 1 2 2 2
 2 2 2 2 2 2 2 3 2 2 2 2 3 1 2 2 2 1 5 2 4 1 1 2 2 2 2 2 2 2 2 2 2 2 3 1 1
 2 1 2 2 2 1 3 2 1 2 2 2 2 2 3 1 2 4 1 2 3 2 2 2 2 3 1 3 3 2 1 3 3 2 2 3 2
 4 2 1 5 2 3 1 2 2 1 3 1 3 3 2 2 2 3 1 4 1 2 2 1 2 3 2 3 2 3 1 2 3 3 2 2 2
 2 2 2 2 3 1 2 1 3 2 2 4 1 2 1 2 2 1 2 2 2 3 1 2 2 1 2 4 1 2 4 2 2 3 2 2 2
 5 1 2 2 3 1 2 4 2 1 2 2 4 2 4 2 2 3 5 2 2 2 2 1 2 3 1 4 2 4 2 2 3 2 1 5 3
 3 1 2 2 2 1 2 2 1 3 2 5 3 2 3 2 2 2 3 2 2 1 2 3 2 1 3 2 4 3 2 3 2 1 3 2 2
 2]",3.945,2.258
english,500,6458,2000,3.229,[3 5 5 ... 5 5 2],[2 3 2 ... 3 2 1],3.9655,2.2295
english,500,13094,4000,3.2735,[4 3 3 ... 1 3 4],[2 2 2 ... 1 2 2],4.11225,2.27375
