language,bpe vocab limit,num tokens,num words,tokens : word
english,500,5010,1000,5.01
english,500,4836,1000,4.836
english,500,5233,1000,5.233
english,500,5125,1000,5.125
english,500,5055,1000,5.055
english,500,5451,1000,5.451
english,500,4968,1000,4.968
english,500,5079,1000,5.079
english,500,5227,1000,5.227
english,500,5032,1000,5.032
english,500,4878,1000,4.878
english,500,5012,1000,5.012
english,500,5086,1000,5.086
english,500,4956,1000,4.956
english,500,4947,1000,4.947
english,500,5244,1000,5.244
english,500,4889,1000,4.889
english,500,4995,1000,4.995
english,500,4864,1000,4.864
english,500,5073,1000,5.073
english,500,5130,1000,5.13
english,500,5069,1000,5.069
english,500,4998,1000,4.998
english,500,5074,1000,5.074
english,500,5352,1000,5.352
english,500,5053,1000,5.053
english,500,5013,1000,5.013
english,500,5133,1000,5.133
english,500,5035,1000,5.035
english,500,5015,1000,5.015
english,500,5033,1000,5.033
english,500,4865,1000,4.865
english,500,5177,1000,5.177
english,500,5123,1000,5.123
english,500,5091,1000,5.091
english,500,5242,1000,5.242
english,500,5145,1000,5.145
english,500,5002,1000,5.002
english,500,5193,1000,5.193
english,500,4972,1000,4.972
english,500,4977,1000,4.977
english,500,5124,1000,5.124
english,500,5116,1000,5.116
english,500,5329,1000,5.329
english,500,5261,1000,5.261
english,500,5215,1000,5.215
english,500,5561,1000,5.561
english,500,5383,1000,5.383
english,500,5719,1000,5.719
english,500,5535,1000,5.535
english,500,5268,1000,5.268
english,500,5121,1000,5.121
english,500,5026,1000,5.026
english,500,4939,1000,4.939
english,500,4868,1000,4.868
english,500,5435,1000,5.435
english,500,5379,1000,5.379
english,500,5251,1000,5.251
english,500,5200,1000,5.2
english,500,5268,1000,5.268
english,500,5098,1000,5.098
english,500,5065,1000,5.065
english,500,5099,1000,5.099
english,500,4972,1000,4.972
english,500,4996,1000,4.996
english,500,4821,1000,4.821
english,500,4939,1000,4.939
english,500,4938,1000,4.938
english,500,5045,1000,5.045
english,500,5144,1000,5.144
english,500,4789,1000,4.789
english,500,4831,1000,4.831
english,500,5105,1000,5.105
english,500,5084,1000,5.084
english,500,5026,1000,5.026
english,500,4964,1000,4.964
english,500,4937,1000,4.937
english,500,5178,1000,5.178
english,500,4947,1000,4.947
english,500,4986,1000,4.986
english,500,5001,1000,5.001
english,500,5174,1000,5.174
english,500,5104,1000,5.104
english,500,5160,1000,5.16
english,500,4916,1000,4.916
english,500,4955,1000,4.955
english,500,5058,1000,5.058
english,500,4972,1000,4.972
english,500,5058,1000,5.058
english,500,5139,1000,5.139
english,500,5354,1000,5.354
english,500,5123,1000,5.123
english,500,5070,1000,5.07
english,500,4967,1000,4.967
english,500,5012,1000,5.012
english,500,5038,1000,5.038
english,1000,5010,1000,5.01
english,1000,4836,1000,4.836
english,1000,5233,1000,5.233
english,1000,5125,1000,5.125
english,1000,5055,1000,5.055
english,1000,5451,1000,5.451
english,1000,4968,1000,4.968
english,1000,5079,1000,5.079
english,1000,5227,1000,5.227
english,1000,5032,1000,5.032
english,1000,4878,1000,4.878
english,1000,5012,1000,5.012
english,1000,5086,1000,5.086
english,1000,4956,1000,4.956
english,1000,4947,1000,4.947
english,1000,5244,1000,5.244
english,1000,4889,1000,4.889
english,1000,4995,1000,4.995
english,1000,4864,1000,4.864
english,1000,5073,1000,5.073
english,1000,5130,1000,5.13
english,1000,5069,1000,5.069
english,1000,4998,1000,4.998
english,1000,5074,1000,5.074
english,1000,5352,1000,5.352
english,1000,5053,1000,5.053
english,1000,5013,1000,5.013
english,1000,5133,1000,5.133
english,1000,5035,1000,5.035
english,1000,5015,1000,5.015
english,1000,5033,1000,5.033
english,1000,4865,1000,4.865
english,1000,5177,1000,5.177
english,1000,5123,1000,5.123
english,1000,5091,1000,5.091
english,1000,5242,1000,5.242
english,1000,5145,1000,5.145
english,1000,5002,1000,5.002
english,1000,5193,1000,5.193
english,1000,4972,1000,4.972
english,1000,4977,1000,4.977
english,1000,5124,1000,5.124
english,1000,5116,1000,5.116
english,1000,5329,1000,5.329
english,1000,5261,1000,5.261
english,1000,5215,1000,5.215
english,1000,5561,1000,5.561
english,1000,5383,1000,5.383
english,1000,5719,1000,5.719
english,1000,5535,1000,5.535
english,1000,5268,1000,5.268
english,1000,5121,1000,5.121
english,1000,5026,1000,5.026
english,1000,4939,1000,4.939
english,1000,4868,1000,4.868
english,1000,5435,1000,5.435
english,1000,5379,1000,5.379
english,1000,5251,1000,5.251
english,1000,5200,1000,5.2
english,1000,5268,1000,5.268
english,1000,5098,1000,5.098
english,1000,5065,1000,5.065
english,1000,5099,1000,5.099
english,1000,4972,1000,4.972
english,1000,4996,1000,4.996
english,1000,4821,1000,4.821
english,1000,4939,1000,4.939
english,1000,4938,1000,4.938
english,1000,5045,1000,5.045
english,1000,5144,1000,5.144
english,1000,4789,1000,4.789
english,1000,4831,1000,4.831
english,1000,5105,1000,5.105
english,1000,5084,1000,5.084
english,1000,5026,1000,5.026
english,1000,4964,1000,4.964
english,1000,4937,1000,4.937
english,1000,5178,1000,5.178
english,1000,4947,1000,4.947
english,1000,4986,1000,4.986
english,1000,5001,1000,5.001
english,1000,5174,1000,5.174
english,1000,5104,1000,5.104
english,1000,5160,1000,5.16
english,1000,4916,1000,4.916
