language,bpe vocab limit,mean,std
english,500,5.117444827586207,0.1478572164658964
english,1000,5.117444827586207,0.1478572164658964
english,5000,5.117444827586207,0.1478572164658964
english,10000,5.117444827586207,0.1478572164658964
nahuatl,500,7.681284280936455,0.24439914566767293
nahuatl,1000,7.681284280936455,0.24439914566767293
nahuatl,5000,7.681284280936455,0.24439914566767293
nahuatl,10000,7.681284280936455,0.24439914566767293
raramuri,500,7.8149999999999995,0.19738727763900385
raramuri,1000,7.8149999999999995,0.19738727763900385
raramuri,5000,7.8149999999999995,0.19738727763900385
raramuri,10000,7.8149999999999995,0.19738727763900385
